2021-12-01 12:24:25 upgrade libnvidia-encode-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:25 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:25 status half-configured libnvidia-encode-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:25 status unpacked libnvidia-encode-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:25 status half-installed libnvidia-encode-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:25 status unpacked libnvidia-encode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:25 startup packages configure
2021-12-01 12:24:25 configure libnvidia-encode-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:25 status unpacked libnvidia-encode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:25 status half-configured libnvidia-encode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:25 status installed libnvidia-encode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:25 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 12:24:25 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:25 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:29 startup archives unpack
2021-12-01 12:24:29 upgrade libnvidia-decode-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:29 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:29 status half-configured libnvidia-decode-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:29 status unpacked libnvidia-decode-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:29 status half-installed libnvidia-decode-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:29 status unpacked libnvidia-decode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:29 upgrade libnvidia-compute-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:29 status half-configured libnvidia-compute-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:29 status unpacked libnvidia-compute-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:29 status half-installed libnvidia-compute-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:31 status unpacked libnvidia-compute-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 startup packages configure
2021-12-01 12:24:31 configure libnvidia-compute-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:31 status unpacked libnvidia-compute-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 status half-configured libnvidia-compute-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 status installed libnvidia-compute-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 configure libnvidia-decode-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:31 status unpacked libnvidia-decode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 status half-configured libnvidia-decode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 status installed libnvidia-decode-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:31 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
